,airline_sentiment,tweet_coord,lat,long,lat_rad,lon_rad,x,y,z,city
0,2,"[40.74804263, -73.99295302]",40.74804263,-73.99295302,0.7111875076365095,-1.2914206534724817,0.208908922529856,-0.7282139484964141,0.652733871729265,Hoboken
1,0,"[42.361016, -71.02000488]",42.361016,-71.02000488,0.7393392036899983,-1.2395329199384404,0.24032290428140682,-0.6987408307188662,0.6737997871504995,Boston
2,1,"[33.94540417, -118.4062472]",33.94540417,-118.4062472,0.592459068686713,-2.066578868570317,-0.39464315646383724,-0.7296870748876159,0.5584026788959864,El Segundo
3,0,"[33.94209449, -118.40410103]",33.94209449,-118.40410103,0.5924013038735256,-2.0665414108375093,-0.39463116688304856,-0.72973022846561,0.5583547580061016,El Segundo
4,2,"[33.2145038, -96.9321504]",33.2145038,-96.9321504,0.5797024507261682,-1.6917851755183384,-0.10097560421317753,-0.8305097535756752,0.5477750236816707,Frisco
5,1,"[34.0219817, -118.38591198]",34.0219817,-118.38591198,0.5937955987182576,-2.066223952027199,-0.3940289941038825,-0.7291698543587192,0.5595109250943782,Culver City
6,1,"[33.57963333, -117.73024772]",33.57963333,-117.73024772,0.5860751632209276,-2.054780451902547,-0.3876575899953278,-0.7374327275432767,0.5530954395645454,Aliso Viejo
7,0,"[40.6413712, -73.78311558]",40.6413712,-73.78311558,0.7093257399651989,-1.2877582992505257,0.21191351079947304,-0.7286095928341797,0.6513222897849056,Springfield Gardens
8,2,"[36.08457854, -115.13780136]",36.08457854,-115.13780136,0.6297947047174884,-2.009533727239205,-0.3432988605483138,-0.7316076771716721,0.5889788612927461,Paradise
9,1,"[37.79374402, -122.39327564]",37.79374402,-122.39327564,0.6596252698049176,-2.13616564221897,-0.42334377601833073,-0.6672561315175166,0.6128207749895723,San Francisco
10,0,"[26.074379, -80.1416831]",26.074379,-80.1416831,0.45508376396286654,-1.398736238184896,0.15378710596158154,-0.8849611655414351,0.43953755416745205,Dania Beach
11,2,"[33.9469039, -118.40716847]",33.9469039,-118.40716847,0.592485243913104,-2.066594947765117,-0.3946479355756957,-0.7296678726470244,0.558424392888247,El Segundo
